box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2
2,69.0,,,,96.65,,2,Acute,02:32:05.201645,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,104.0,Side,Right,Horizontal-Right,98.87,78.85,2,Obtuse,02:32:05.201645,2.0,2.0,1,1.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,97.0,,2,Acute,02:32:04.137648,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,92.0,,,,99.03,85.0,2,Right,02:32:04.137648,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,67.0,,,,97.1,,2,Acute,02:32:03.064488,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,88.0,Top,Down,Vertical-Down,98.84,80.29,2,Right,02:32:03.064488,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,68.0,,,,95.56,,2,Acute,02:32:02.003277,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,99.0,Top,Down,Vertical-Down,98.9,79.52,2,Right,02:32:02.003277,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,69.0,,,,97.51,,2,Acute,02:32:00.924085,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,95.0,Top,Down,Vertical-Down,98.58,83.54,2,Right,02:32:00.924085,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,69.0,,,,94.23,,2,Acute,02:31:59.844189,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,99.0,Top,Down,Vertical-Down,98.82,73.86,2,Right,02:31:59.844189,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,70.0,,,,96.15,,2,Acute,02:31:58.761199,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,90.0,Side,Right,Horizontal-Right,98.74,85.4,2,Right,02:31:58.761199,2.0,2.0,1,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,97.46,,2,Acute,02:31:57.701360,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,87.0,,,,98.89,83.25,2,Right,02:31:57.701360,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,97.2,,2,Acute,02:31:56.524690,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,,,,98.6,82.99,2,Right,02:31:56.524690,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,68.0,,,,96.57,,2,Acute,02:31:55.466121,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,84.0,,,,98.77,84.92,2,Acute,02:31:55.466121,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,97.7,,2,Acute,02:31:54.391928,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,98.0,,,,98.56,76.46,2,Right,02:31:54.391928,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,62.0,,,,97.64,,2,Acute,02:31:53.292490,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,95.0,Top,Down,Vertical-Down,98.99,76.18,2,Right,02:31:53.292490,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,93.41,,2,Acute,02:31:52.213928,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,91.0,Top,Down,Vertical-Down,98.64,82.45,2,Right,02:31:52.213928,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,95.17,,2,Acute,02:31:51.144508,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,89.0,,,,98.74,70.12,2,Right,02:31:51.144508,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,75.0,,,,97.8,,2,Acute,02:31:50.062196,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,85.0,Top,Down,Vertical-Down,98.55,82.71,2,,02:31:50.062196,1.0,4.0,2,,102,1,4,1,14,2,73,2,0,0,0,4
2,64.0,,,,97.36,,2,Acute,02:31:48.982402,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,85.0,Top,Down,Vertical-Down,98.89,87.15,2,,02:31:48.982402,1.0,4.0,2,,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,97.78,,2,Acute,02:31:47.933292,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,99.0,Top,Down,Vertical-Down,99.02,77.1,2,Right,02:31:47.933292,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,97.57,,2,Acute,02:31:46.869971,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,94.0,Top,Down,Vertical-Down,98.65,86.61,2,Right,02:31:46.869971,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,95.84,,2,Acute,02:31:45.807287,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,99.0,Top,Down,Vertical-Down,99.04,74.55,2,Right,02:31:45.807287,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,97.32,,2,Acute,02:31:44.726123,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,97.0,,,,98.89,73.64,2,Right,02:31:44.726123,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,64.0,,,,96.66,,2,Acute,02:31:43.674017,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,Top,Down,Vertical-Down,98.96,88.53,2,Right,02:31:43.674017,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,72.0,,,,96.67,,2,Acute,02:31:42.604852,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,95.0,Top,Down,Vertical-Down,99.07,78.73,2,Right,02:31:42.604852,1.0,4.0,2,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,65.0,,,,97.56,,2,Acute,02:31:41.526396,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,84.0,Top,Down,Vertical-Down,98.77,69.44,2,Acute,02:31:41.526396,1.0,4.0,2,4.0,102,1,4,1,14,2,73,2,0,0,0,4
2,68.0,,,,97.26,,2,Acute,02:31:40.448172,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,92.0,,,,98.79,79.82,2,Right,02:31:40.448172,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,66.0,,,,96.79,,2,Acute,02:31:39.377720,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
1,93.0,,,,98.94,74.22,2,Right,02:31:39.377720,,,3,2.0,102,1,4,1,14,2,73,2,0,0,0,4
2,71.0,,,,97.8,,2,Acute,02:31:38.318115,,,3,4.0,102,1,4,1,14,2,73,2,0,0,0,4
