box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1,angle_gt_2,box_number_gt_2,arrow_direction_gt_2,arrow_position_gt_2,orientation_type_gt_2,angle_type_type_gt_2,angle_gt_3,box_number_gt_3,arrow_direction_gt_3,arrow_position_gt_3,orientation_type_gt_3,angle_type_type_gt_3
3,119.0,,,,82.82,,3,Obtuse,02:55:42.354155,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,75.0,,,,94.48,,3,Acute,02:55:42.354155,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,89.0,Side,Left,Horizontal-Left,99.33,64.19,3,Right,02:55:42.354155,2.0,1.0,0,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,86.0,,,,79.53,,3,Right,02:55:41.251391,,,3,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,93.79,,3,Acute,02:55:41.251391,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,91.0,Top,Down,Vertical-Down,99.33,66.65,3,Right,02:55:41.251391,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,95.0,,,,76.54,,3,Right,02:55:40.173077,,,3,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,91.61,,3,Acute,02:55:40.173077,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,71.0,Side,Left,Horizontal-Left,99.29,60.47,3,Acute,02:55:40.173077,2.0,1.0,0,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,106.0,,,,72.95,,3,Obtuse,02:55:39.074153,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,78.0,,,,94.5,,3,Acute,02:55:39.074153,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,,,,,99.41,79.92,3,,02:55:39.074153,,,3,,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,110.0,,,,79.87,,3,Obtuse,02:55:37.986630,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,78.0,,,,90.5,,3,Acute,02:55:37.986630,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,96.0,Top,Down,Vertical-Down,99.35,71.95,3,Right,02:55:37.986630,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,119.0,,,,69.65,,3,Obtuse,02:55:36.888166,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,87.18,,3,Acute,02:55:36.888166,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,62.0,Side,Right,Horizontal-Right,99.31,74.24,3,Acute,02:55:36.888166,2.0,2.0,1,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,117.0,,,,76.09,,3,Obtuse,02:55:35.802745,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,Side,Left,Horizontal-Left,93.32,50.07,3,Acute,02:55:35.802745,2.0,1.0,0,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,79.0,Top,Down,Vertical-Down,99.6,69.38,3,Acute,02:55:35.802745,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,116.0,,,,88.19,,3,Obtuse,02:55:34.711929,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,Side,Right,Horizontal-Right,96.18,52.95,3,Acute,02:55:34.711929,2.0,2.0,1,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,147.0,Side,Right,Horizontal-Right,99.53,72.83,3,Straight,02:55:34.711929,2.0,2.0,1,3.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,107.0,,,,77.34,,3,Obtuse,02:55:33.602333,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,91.03,,3,Acute,02:55:33.602333,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,98.0,Top,Down,Vertical-Down,99.31,60.03,3,Right,02:55:33.602333,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,112.0,,,,82.8,,3,Obtuse,02:55:32.373841,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,75.0,,,,94.05,,3,Acute,02:55:32.373841,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,82.0,Top,Down,Vertical-Down,99.35,73.33,3,Acute,02:55:32.373841,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,121.0,,,,87.43,,3,Obtuse,02:55:31.221069,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,Side,Right,Horizontal-Right,95.23,58.94,3,Acute,02:55:31.221069,2.0,2.0,1,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,84.0,Top,Down,Vertical-Down,99.21,64.32,3,Acute,02:55:31.221069,1.0,4.0,2,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,121.0,,,,77.66,,3,Obtuse,02:55:30.138481,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,94.5,,3,Acute,02:55:30.138481,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,94.0,Top,Down,Vertical-Down,99.34,76.68,3,Right,02:55:30.138481,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,116.0,,,,79.0,,3,Obtuse,02:55:29.014126,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,Side,Right,Horizontal-Right,94.19,55.25,3,Acute,02:55:29.014126,2.0,2.0,1,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,88.0,Top,Down,Vertical-Down,99.51,57.12,3,Right,02:55:29.014126,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,106.0,,,,76.92,,3,Obtuse,02:55:27.904298,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,76.0,,,,86.78,,3,Acute,02:55:27.904298,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,96.0,Top,Down,Vertical-Down,99.22,75.42,3,Right,02:55:27.904298,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,119.0,,,,81.75,,3,Obtuse,02:55:26.825389,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
2,77.0,,,,95.27,,3,Acute,02:55:26.825389,,,3,4.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
1,91.0,Top,Down,Vertical-Down,99.29,76.97,3,Right,02:55:26.825389,1.0,4.0,2,2.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
3,109.0,,,,85.12,,3,Obtuse,02:55:25.725776,,,3,1.0,98,1,4,1,14,2,80,2,0,0,0,4,129,3,0,0,0,1
