box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode
1,130.0,,,,98.96,99.99,1,,21:31:09.442673,,,3,
1,127.0,Side,Left,Horizontal-Left,98.94,99.98,1,Obtuse,21:31:08.405054,2.0,1.0,0,1.0
1,127.0,Side,Right,Horizontal-Right,98.84,99.98,1,Obtuse,21:31:07.376744,2.0,2.0,1,1.0
1,124.0,,,,98.85,99.99,1,Obtuse,21:31:06.343952,,,3,1.0
1,128.0,Side,Left,Horizontal-Left,99.08,99.98,1,Obtuse,21:31:05.314083,2.0,1.0,0,1.0
1,128.0,,,,98.89,99.98,1,Obtuse,21:31:04.280525,,,3,1.0
1,128.0,Side,Left,Horizontal-Left,98.94,99.98,1,Obtuse,21:31:03.257135,2.0,1.0,0,1.0
1,127.0,,,,98.9,99.99,1,Obtuse,21:31:02.233146,,,3,1.0
1,121.0,Side,Left,Horizontal-Left,99.1,99.98,1,Obtuse,21:31:01.198671,2.0,1.0,0,1.0
1,128.0,,,,98.96,99.98,1,Obtuse,21:31:00.169778,,,3,1.0
1,127.0,,,,99.03,99.98,1,Obtuse,21:30:59.150612,,,3,1.0
1,128.0,Side,Right,Horizontal-Right,98.93,99.98,1,Obtuse,21:30:58.120341,2.0,2.0,1,1.0
1,125.0,,,,98.89,99.98,1,Obtuse,21:30:57.092907,,,3,1.0
1,125.0,,,,99.02,99.98,1,Obtuse,21:30:56.074611,,,3,1.0
1,130.0,Side,Right,Horizontal-Right,98.9,99.98,1,,21:30:55.044477,2.0,2.0,1,
1,127.0,,,,99.08,99.98,1,Obtuse,21:30:54.014658,,,3,1.0
1,128.0,Side,Right,Horizontal-Right,98.9,99.98,1,Obtuse,21:30:52.987628,2.0,2.0,1,1.0
1,127.0,,,,98.85,99.98,1,Obtuse,21:30:51.965329,,,3,1.0
1,119.0,Side,Left,Horizontal-Left,98.95,99.99,1,Obtuse,21:30:50.937501,2.0,1.0,0,1.0
1,126.0,,,,98.98,99.98,1,Obtuse,21:30:49.890675,,,3,1.0
1,127.0,Side,Right,Horizontal-Right,98.98,99.98,1,Obtuse,21:30:48.858634,2.0,2.0,1,1.0
1,130.0,,,,98.86,99.98,1,,21:30:47.832405,,,3,
1,126.0,,,,98.93,99.98,1,Obtuse,21:30:46.798513,,,3,1.0
1,127.0,,,,99.09,99.98,1,Obtuse,21:30:45.762660,,,3,1.0
