box_number,rotate_angle,arrow_position,arrow_direction,orientation_type,box_detect_confidence_top_cam,box_detect_confidence_side_cam,total_boxes,angle_type,data_write_time,arrow_position_encode,arrow_direction_encode,orientation_type_encode,angle_type_encode,angle_gt_1,box_number_gt_1,arrow_direction_gt_1,arrow_position_gt_1,orientation_type_gt_1,angle_type_gt_1
1,50.0,,,,98.39,99.12,1,,20:30:28.286677,,,4,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,99.29,99.3,1,Straight,20:30:27.246917,2.0,1.0,0,3.0,47,1,1,2,21,3
1,49.0,,,,98.41,99.36,1,Straight,20:30:26.206568,,,4,3.0,47,1,1,2,21,3
1,49.0,,,,97.8,99.3,1,Straight,20:30:25.154295,,,4,3.0,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,97.63,99.24,1,Straight,20:30:24.106685,2.0,1.0,0,3.0,47,1,1,2,21,3
1,47.0,,,,98.77,99.16,1,Straight,20:30:23.076773,,,4,3.0,47,1,1,2,21,3
1,49.0,,,,98.56,99.42,1,Straight,20:30:22.040991,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.81,98.42,1,,20:30:21.019648,2.0,1.0,0,,47,1,1,2,21,3
1,50.0,,,,98.3,99.23,1,,20:30:19.990681,,,4,,47,1,1,2,21,3
1,48.0,Side,Right,Horizontal-Right,98.7,99.42,1,Straight,20:30:18.959881,2.0,2.0,1,3.0,47,1,1,2,21,3
1,49.0,,,,98.48,99.31,1,Straight,20:30:17.938584,,,4,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,98.69,99.39,1,,20:30:16.892648,2.0,2.0,1,,47,1,1,2,21,3
1,133.0,,,,98.47,99.17,1,Straight,20:30:15.854696,,,4,3.0,47,1,1,2,21,3
1,49.0,,,,98.76,99.42,1,Straight,20:30:14.818666,,,4,3.0,47,1,1,2,21,3
1,48.0,,,,98.87,99.15,1,Straight,20:30:13.790662,,,4,3.0,47,1,1,2,21,3
1,48.0,Side,Right,Horizontal-Right,99.05,99.45,1,Straight,20:30:12.760693,2.0,2.0,1,3.0,47,1,1,2,21,3
1,48.0,Side,Left,Horizontal-Left,98.46,99.27,1,Straight,20:30:11.722029,2.0,1.0,0,3.0,47,1,1,2,21,3
1,50.0,Side,Left,Horizontal-Left,98.92,99.35,1,,20:30:10.690436,2.0,1.0,0,,47,1,1,2,21,3
1,47.0,,,,98.47,99.08,1,Straight,20:30:09.653699,,,4,3.0,47,1,1,2,21,3
1,50.0,,,,98.81,99.1,1,,20:30:08.638622,,,4,,47,1,1,2,21,3
1,50.0,,,,98.97,99.36,1,,20:30:07.595650,,,4,,47,1,1,2,21,3
1,49.0,Side,Left,Horizontal-Left,99.31,98.98,1,Straight,20:30:06.562390,2.0,1.0,0,3.0,47,1,1,2,21,3
1,47.0,Side,Right,Horizontal-Right,98.55,99.19,1,Straight,20:30:05.538594,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,99.12,99.47,1,,20:30:04.494670,2.0,2.0,1,,47,1,1,2,21,3
1,46.0,Side,Right,Horizontal-Right,98.71,99.27,1,Straight,20:30:03.445923,2.0,2.0,1,3.0,47,1,1,2,21,3
1,47.0,Side,Right,Horizontal-Right,98.36,99.33,1,Straight,20:30:02.400818,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,,,,98.16,98.99,1,,20:30:01.350317,,,4,,47,1,1,2,21,3
1,49.0,Side,Right,Horizontal-Right,98.03,99.11,1,Straight,20:30:00.304635,2.0,2.0,1,3.0,47,1,1,2,21,3
1,50.0,,,,98.48,99.2,1,,20:29:59.264862,,,4,,47,1,1,2,21,3
1,50.0,Side,Right,Horizontal-Right,99.03,99.56,1,,20:29:58.226622,2.0,2.0,1,,47,1,1,2,21,3
1,49.0,,,,98.72,98.49,1,Straight,20:29:57.188396,,,4,3.0,47,1,1,2,21,3
